,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
12296,0.6451372,-0.66627145,1.1576595,-0.74177235,-1.0644995,1.3472233,1.0864245,-0.94579744,-0.053160284,-0.53654003,-0.36918926,0.2591453,-0.6581333,-1.0066959,-0.76700675,0.92150813,1
9199,0.71489537,-1.0035435,0.01872687,-0.74177235,-0.6752928,0.007911293,0.44159532,-0.58363014,0.2600967,-0.52128804,-0.91348714,-0.110752605,-0.41855592,-0.59631246,-0.26153103,-0.15519649,1
3089,0.6863531,-1.0473027,-0.1888461,-0.74177235,-1.0644995,-0.1322756,0.45107228,-1.048909,0.32355532,-0.6969368,-0.91348714,-0.110752605,-0.032965306,-0.9420801,0.05584811,-0.15519649,1
10776,0.54904234,-0.23862275,0.86371946,-0.74177235,-0.3225778,0.8919628,0.7125742,-1.0114272,0.22420427,-0.5958956,-0.18944736,0.764539,-1.0602671,-0.8391813,-1.0093926,1.1474372,1
14774,0.21154357,-1.0473027,0.71840274,-0.41098535,-1.0644995,0.6657406,0.53739756,-0.75882524,-0.031146662,-0.861443,-0.91348714,0.25916246,-1.0602671,-1.1872264,-1.0093926,-0.074017346,1
13296,1.3726643,-1.0473027,0.8983112,-0.74177235,-1.0644995,0.35864416,1.0404769,-1.2200729,1.2158902,-1.0315293,-0.91348714,-0.110752605,-0.40899578,-1.1872264,-0.09273127,-0.15519649,1
7036,0.95537305,-1.0473027,1.0511411,-0.74177235,-1.0644995,1.4784254,1.315272,-1.2200729,0.5324607,-1.0315293,-0.91348714,0.061278943,-0.7965629,-1.1872264,-0.97783935,0.35759562,1
15992,1.3752152,-1.0473027,1.0643463,0.689413,-1.0644995,0.28669518,1.9327579,-1.2200729,1.9287683,-1.0315293,-0.5504722,0.42297408,-1.0602671,-1.1872264,-1.0093926,0.028186614,1
12545,-0.13674015,-1.0473027,-0.07649457,-0.5355725,-0.053480018,-0.1322756,-0.15640566,0.11197182,-0.3536648,0.035121992,-0.85374266,0.09660317,-1.0109922,-0.66193086,-0.82977635,0.031286966,2
11395,-0.13674015,-0.583943,0.2654662,-0.25253794,-0.32833147,-0.1322756,-0.15640566,-0.19140424,-0.3536648,-0.43918464,0.25032032,0.6224599,-0.96542954,-0.5714114,-1.0093926,0.6542963,1
5422,1.301128,-1.0473027,0.9116155,-0.74177235,-1.0644995,0.95619977,1.0731804,-1.2090518,0.7714834,-0.7402011,-0.91348714,-0.110752605,-0.91442674,-1.1872264,-0.8154369,-0.09680262,1
273,-0.13674015,-1.0473027,-0.1888461,-0.74177235,-1.0644995,-0.1322756,-0.15640566,-1.2200729,-0.3536648,-1.0315293,-0.91348714,1.3207049,-1.0602671,-1.1872264,-1.0093926,-0.15519649,1
6835,1.5603431,-1.0473027,0.86082506,-0.03360446,-1.0644995,0.5983151,1.153764,-1.2200729,1.2027546,-1.0315293,-0.91348714,-0.110752605,-0.9837925,-1.1872264,-0.90926194,0.025511863,1
7290,0.41431275,-1.0473027,0.8385284,-0.74177235,-1.0644995,0.5135206,-0.07153385,-1.2200729,1.1745243,-1.0315293,-0.91348714,1.3867633,-1.0602671,-1.1872264,-1.0093926,1.0129223,1
9113,-0.13674015,-0.99778694,-0.1888461,0.6745418,-1.0644995,-0.1322756,0.02559087,-0.37610096,-0.3536648,-0.49981046,-0.91348714,-0.110752605,0.17951353,-0.62142485,0.15199436,-0.15519649,1
14897,-0.13674015,0.2099612,-0.1888461,1.2060122,0.074272476,-0.1322756,-0.15640566,0.4846004,-0.3536648,0.660966,0.50133663,-0.110752605,0.6254989,0.30097485,0.64292413,-0.15519649,1
1280,1.0181607,-1.0473027,0.4883192,-0.5543792,-0.5124227,0.6489009,0.56554073,-1.2200729,1.0526186,-1.0315293,-0.86587816,0.31750247,-1.0602671,-1.0887753,-1.0093926,0.5627997,1
