'Contrast Feature','Dissimilarity Feature','Homogeneity Feature','Energy Feature','Correlation Feature','ASM Feature',diagnostic
0.515178,0.391635,0.816194,0.28439,0.936153,0.080956,1
0.18184,0.159323,0.922422,0.347569,0.976252,0.120845,3
0.559866,0.407816,0.810807,0.233325,0.964201,0.054583,1
0.086432,0.085783,0.957173,0.458539,0.968343,0.210287,1
0.149057,0.141281,0.930126,0.438674,0.949471,0.192494,1
0.154113,0.153625,0.923237,0.368394,0.96713,0.135754,1
0.129793,0.128226,0.936044,0.451236,0.970722,0.203665,1
0.241851,0.182528,0.914359,0.38292,0.953795,0.146681,1
0.223571,0.217982,0.891567,0.338224,0.957522,0.114564,1
0.48441,0.357176,0.833162,0.218368,0.978981,0.047752,1
0.139359,0.115932,0.944252,0.458041,0.951218,0.209844,3
0.280277,0.257747,0.873254,0.303539,0.960979,0.092224,1
0.147984,0.147215,0.926469,0.342869,0.983999,0.117586,1
0.080764,0.08054,0.959752,0.461191,0.972798,0.212725,3
0.330026,0.260654,0.876241,0.335865,0.946443,0.112892,1
0.226871,0.214335,0.894085,0.376756,0.941793,0.142072,1
0.224925,0.174754,0.917293,0.290885,0.986662,0.084634,3
0.179992,0.173378,0.913964,0.312159,0.978911,0.097502,1
0.187478,0.181778,0.90968,0.292208,0.983374,0.085413,1
0.291934,0.277164,0.862881,0.322232,0.939351,0.103962,1
0.377098,0.299718,0.857071,0.337715,0.914428,0.114125,1
0.080658,0.080658,0.959671,0.511909,0.962985,0.262068,1
0.240825,0.223553,0.889919,0.411991,0.910442,0.169903,3
0.129157,0.125053,0.937883,0.354608,0.978327,0.125783,1
0.265994,0.250235,0.876447,0.315368,0.964346,0.099543,1
0.373102,0.251592,0.885545,0.341629,0.941083,0.116768,5
0.222432,0.216552,0.892312,0.365935,0.950122,0.13399,2
0.118584,0.106897,0.947589,0.28496,0.995807,0.081215,3
0.09764,0.097058,0.951529,0.507005,0.950249,0.257133,2
0.307297,0.285279,0.859542,0.340039,0.916269,0.115831,1
0.210087,0.205748,0.897559,0.349974,0.959207,0.12255,1
0.120681,0.120257,0.939914,0.518627,0.924564,0.269045,5
0.299423,0.247383,0.881354,0.340139,0.948239,0.115762,1
0.569473,0.350251,0.844814,0.326467,0.909699,0.106657,1
0.103069,0.097294,0.951926,0.419022,0.982788,0.175616,6
0.331863,0.285051,0.862022,0.340816,0.931016,0.11628,2
0.29365,0.275567,0.863977,0.310661,0.950743,0.096639,1
0.480478,0.332853,0.847618,0.237003,0.969261,0.056224,1
0.457891,0.350951,0.834759,0.297692,0.942306,0.088706,1
0.192753,0.188784,0.905999,0.366169,0.959998,0.134113,4
0.197212,0.188474,0.906628,0.486682,0.887615,0.236983,3
0.325537,0.289142,0.859018,0.382466,0.88703,0.146473,1
0.163418,0.157717,0.92171,0.357066,0.968629,0.127561,1
0.121453,0.121206,0.939421,0.356723,0.979838,0.127298,3
0.462799,0.38465,0.815437,0.265267,0.932371,0.07052,4
0.39286,0.321955,0.845976,0.276602,0.948961,0.076639,1
0.153529,0.15333,0.923355,0.420903,0.953093,0.177201,1
0.13499,0.13422,0.932967,0.45386,0.950509,0.206056,1
0.093652,0.093433,0.953305,0.589928,0.929823,0.348063,1
0.273172,0.249447,0.877635,0.342811,0.943083,0.117627,3
0.207847,0.190567,0.906433,0.316789,0.97607,0.1004,3
0.36032,0.280409,0.867336,0.377333,0.903507,0.142487,3
